title,author,category,publicationYear,price,description
"1Q84 (3 tập)","Haruki Murakami","Magical Realism",2009,280000,"Thế giới song song với 2 mặt trăng, nơi số phận 2 người xa lạ đan xen."
"Death Note (12 tập)","Tsugumi Ohba","Thriller",2003,240000,"Light Yagami dùng cuốn sổ thần chết trừng phạt tội phạm, bị thách thức bởi thám tử L."
"Attack on Titan (34 tập)","Hajime Isayama","Dark Fantasy",2009,300000,"Nhân loại chiến đấu với Titan trong thế giới tàn khốc."
"Rừng Na Uy","Haruki Murakami","Literary Fiction",1987,180000,"Bi kịch tình yêu tuổi trẻ với nhạc Beatles làm nền."
"Demon Slayer (23 tập)","Koyoharu Gotouge","Shonen",2016,250000,"Tanjiro trở thành sát thủ diệt quỷ để cứu em gái Nezuko."
"Kafka bên bờ biển","Haruki Murakami","Surrealism",2002,220000,"Hành trình của cậu bé Kafka 15 tuổi trốn chạy lời nguyền."
"Tokyo Ghoul (14 tập)","Sui Ishida","Horror",2011,260000,"Sinh viên đại học thành ghoul sau khi được ghép nội tạng quái vật."
"Chiến tranh mèo vờ","Hiro Arikawa","Drama",2012,150000,"Chuyến phiêu lưu cảm động của chú mèo Nana cùng chủ nhân."
"Bố già","Shinichi Hoshi","Sci-Fi",1973,120000,"Truyện ngắn kinh điển về ông lão sở hữu cỗ máy dự đoán cái chết."
"Your Name","Makoto Shinkai","Romance",2016,190000,"Hai người lạ hoán đổi cơ thể qua giấc mơ, tìm cách gặp nhau thực tế."
"Monster (18 tập)","Naoki Urasawa","Psychological",1994,290000,"Bác sĩ phải truy tìm bệnh nhân cũ - kẻ giết người hàng loạt."
"Biên niên ký Chim vặn dây cót","Haruki Murakami","Surrealism",1994,210000,"Người đàn ông mất vợ bước vào thế giới kỳ ảo dưới lòng Tokyo."
"One Piece (100+ tập)","Eiichiro Oda","Adventure",1997,300000,"Luffy và đồng đội săn tìm kho báu vĩ đại nhất thế giới."
"Berserk (40 tập)","Kentaro Miura","Dark Fantasy",1989,300000,"Guts - chiến binh cô độc chống lại định mệnh tàn khốc."
"Parasyte (8 tập)","Hitoshi Iwaaki","Sci-Fi",1988,200000,"Cậu học sinh chung sống với ký sinh trùng xâm chiếm tay phải."
"Lời nói dối tháng Tư","Yoshitoki Ōima","Drama",2014,160000,"Nữ nghệ sĩ violin điếc gặp lại crush cũ đang mất động lực sống."
"20th Century Boys (22 tập)","Naoki Urasawa","Mystery",1999,280000,"Nhóm bạn thời thơ ấu phá âm mưu hủy diệt thế giới."
"Goodbye, Eri","Tatsuki Fujimoto","Drama",2022,170000,"Cậu bé quay phim ghi lại những ngày cuối đời mẹ, bất ngờ gặp cô gái bí ẩn."
"Uzumaki","Junji Ito","Horror",1998,230000,"Thị trấn bị ám ảnh bởi hình xoắn ốc gây điên loạn tập thể."
"Điều kỳ diệu của tiệm tạp hóa Namiya","Keigo Higashino","Fantasy",2012,195000,"Cửa hàng cũ nhận được lá thư xuyên thời gian cầu cứu."
"Vagabond (37 tập)","Takehiko Inoue","Historical",1998,300000,"Hành trình trở thành kiếm sĩ vĩ đại của Miyamoto Musashi."
"Banana Yoshimoto","Kitchen","Magical Realism",1988,140000,"Cô gái trẻ tìm lại ý nghĩa cuộc sống sau bi kịch gia đình."
"Pluto (8 tập)","Naoki Urasawa","Sci-Fi",2003,240000,"Phiên bản tái hiện Astro Boy dưới góc nhìn trinh thám đen tối."
"Horimiya (16 tập)","Hero","Romance",2011,220000,"Nữ sinh hoàn hảo và nam sinh lập dị phát hiện bí mật của nhau."
"NHK ni Yōkoso!","Tatsuhiko Takimoto","Psychological",2002,155000,"Thanh niên NEET được cô gái bí ẩn 'cứu vớt' khỏi căn phòng đóng kín."
"Blame! (10 tập)","Tsutomu Nihei","Cyberpunk",1997,270000,"Hành trình trong thành phố AI khổng lồ tìm kiếm gene thuần chủng cuối cùng."
"Yotsuba&! (15 tập)","Kiyohiko Azuma","Slice-of-life",2003,180000,"Cuộc sống hài hước của cô bé Yotsuba 5 tuổi đầy năng lượng."
"Onani Master Kurosawa","Katsura Ise","Drama",2008,130000,"Cậu học sinh thủ dâm trả thù bạn học, rồi nhận ra sự trống rỗng."
"Oyasumi Punpun (13 tập)","Inio Asano","Psychological",2007,290000,"Hành trình trưởng thành đau thương của cậu bé Punpun dạng chim."
"Slam Dunk (31 tập)","Takehiko Inoue","Sports",1990,300000,"Cậu du côn Hanamichi Sakuragi trở thành ngôi sao bóng rổ chân chính."